bootstrap_objective,threshold_aggregation,fold,subject_id,label,pred_label,error_type,prob,threshold,margin,feature,raw_value_imputed,zscore,train_percentile,class0_mean_z,class1_mean_z,class_contrast_z,positive_side_score,direction,supports_error
accuracy,median,1,14,0,1,FP,0.4264864343703394,0.355984591167536,0.0705018432028034,SSC_emg_MED. GASTRO_min,111.2099838256836,2.31823368679115,0.96875,0.1486705885239239,-0.37993594845002754,-0.5286065369739514,-2.4338663667542018,negative_like,False
accuracy,median,1,14,0,1,FP,0.4264864343703394,0.355984591167536,0.0705018432028034,SSC_id_hip_adduction_r_moment_std,79.83018615670977,1.6854789163805073,0.96875,-0.2089019902142529,0.5338606416586418,0.7427626318728947,1.522999590658313,positive_like,True
accuracy,median,1,14,0,1,FP,0.4264864343703394,0.355984591167536,0.0705018432028034,VDJ_ik_hip_adduction_r_std,2.9895772870783097,-0.03881520644543973,0.5625,-0.14879814420293375,0.38026192407416204,0.5290600682770958,-0.15454709638105388,negative_like,False
accuracy,median,1,14,0,1,FP,0.4264864343703394,0.355984591167536,0.0705018432028034,VDJ_ik_hip_adduction_r_abs_peak,12.829624618,1.1848198261712815,0.90625,-0.1509016207277418,0.3856374751931188,0.5365390959208606,1.067451898938593,positive_like,True
accuracy,median,1,14,0,1,FP,0.4264864343703394,0.355984591167536,0.0705018432028034,VDJ_syn1_sparsity,0.4676048862712841,-0.30994120489203575,0.34375,0.1860818560233662,-0.47554252094860455,-0.6616243769719707,0.16521087242941657,positive_like,True
accuracy,median,1,14,0,1,FP,0.4264864343703394,0.355984591167536,0.0705018432028034,VDJ_emg_VMO_abs_peak,156.2429656982422,-0.5970546704045657,0.40625,0.25131165755336204,-0.6422409026363697,-0.8935525601897317,0.4015900478630619,positive_like,True
accuracy,median,1,14,0,1,FP,0.4264864343703394,0.355984591167536,0.0705018432028034,SSC_ik_subtalar_angle_r_std,6.724974362722576,1.893781072881773,0.96875,0.16091418007915653,-0.4112251268689546,-0.5721393069481111,-2.018936546276672,negative_like,False
accuracy,median,1,14,0,1,FP,0.4264864343703394,0.355984591167536,0.0705018432028034,VDJ_label_duration,0.79,1.927785901206478,1.0,-0.12011350282507871,0.30695672944186686,0.42707023226694557,1.834364287898084,positive_like,True
accuracy,median,1,14,0,1,FP,0.4264864343703394,0.355984591167536,0.0705018432028034,VDJ_grf_grf2_vz_peak_t_ms,76.99999999999996,0.27128681329139287,0.8125,-0.15433986140074865,0.394424090246354,0.5487639516471027,0.1512446988685902,positive_like,True
accuracy,median,1,14,0,1,FP,0.4264864343703394,0.355984591167536,0.0705018432028034,VDJ_id_knee_angle_r_moment_mean,63.59231311296042,-0.22314203168190463,0.4375,0.15173406032775072,-0.38776482083758573,-0.5394988811653365,0.10512665142698713,positive_like,True
accuracy,median,1,14,0,1,FP,0.4264864343703394,0.355984591167536,0.0705018432028034,VDJ_imu_Accel_Earth_Y_mG_abs_peak,11958.7,-1.95908335416342,0.03125,0.24873148572077627,-0.6356471301753188,-0.8843786158960951,1.765625531936149,positive_like,True
accuracy,median,1,14,0,1,FP,0.4264864343703394,0.355984591167536,0.0705018432028034,VDJ_id_hip_rotation_r_moment_mean,-8.225117187099016,-1.4365773481302817,0.03125,-0.19017237056562405,0.4859960581121501,0.6761684286777742,-1.5844891919035446,negative_like,False
accuracy,q65,1,2,1,0,FN,0.3740990791404713,0.3841118750558501,-0.010012795915378792,VDJ_emg_VLO_peak_t_ms,28.999999999999915,-1.1767149142747373,0.0625,0.3069691080716705,-0.7844766095164908,-1.0914457175881613,0.9379611635523272,positive_like,False
accuracy,q65,1,2,1,0,FN,0.3740990791404713,0.3841118750558501,-0.010012795915378792,VDJ_emg_SEMITEND_min,0.0,-0.7591753344380103,0.375,-0.3424469201171831,0.8751421291883568,1.21758904930554,-1.0255229389735971,negative_like,True
accuracy,q65,1,2,1,0,FN,0.3740990791404713,0.3841118750558501,-0.010012795915378792,SSC_imu_roll_deg_peak_t_ms,14.15500000000014,-0.16495676791503083,0.75,0.27479986278301183,-0.7022663160010302,-0.977066178784042,-0.04877645869397834,negative_like,True
accuracy,q65,1,2,1,0,FN,0.3740990791404713,0.3841118750558501,-0.010012795915378792,VDJ_ik_hip_adduction_r_range,15.408322305000002,1.5935988200174016,0.90625,-0.16148819699639638,0.41269205899079175,0.5741802559871881,1.467996889020204,positive_like,False
accuracy,q65,1,2,1,0,FN,0.3740990791404713,0.3841118750558501,-0.010012795915378792,SSC_syn2_early_integral,0.0401839718886869,-0.18542571249861717,0.5625,0.16146353400030627,-0.41262903133411677,-0.5740925653344231,0.05984296383171192,positive_like,False
accuracy,q65,1,2,1,0,FN,0.3740990791404713,0.3841118750558501,-0.010012795915378792,VDJ_id_knee_angle_r_moment_min,-10.743210273999908,0.985708986443138,0.9375,-0.10065442179777381,0.25722796681653354,0.3578823886143073,0.9074222139337581,positive_like,False
accuracy,q65,1,2,1,0,FN,0.3740990791404713,0.3841118750558501,-0.010012795915378792,SSC_ik_hip_rotation_r_range,6.190696826,-1.014188846582892,0.125,0.09391026514167534,-0.2399928998065023,-0.3339031649481776,0.9411475292504786,positive_like,False
accuracy,q65,1,2,1,0,FN,0.3740990791404713,0.3841118750558501,-0.010012795915378792,VDJ_emg_VMO_max,222.63351440429688,0.05744854960668428,0.5,0.25131165755336204,-0.6422409026363697,-0.8935525601897317,-0.2529131721481881,negative_like,True
accuracy,q65,1,2,1,0,FN,0.3740990791404713,0.3841118750558501,-0.010012795915378792,SSC_emg_MED. GASTRO_min,0.0,-0.6411769896317535,0.3125,0.1486705885239239,-0.37993594845002754,-0.5286065369739514,0.5255443096687017,positive_like,False
accuracy,q65,1,2,1,0,FN,0.3740990791404713,0.3841118750558501,-0.010012795915378792,SSC_id_hip_adduction_r_moment_std,64.60726490649884,0.7288930095520312,0.71875,-0.2089019902142529,0.5338606416586418,0.7427626318728947,0.5664136838298368,positive_like,False
accuracy,q65,1,2,1,0,FN,0.3740990791404713,0.3841118750558501,-0.010012795915378792,VDJ_ik_hip_adduction_r_std,5.65767408980675,1.5690602404366414,0.9375,-0.14879814420293375,0.38026192407416204,0.5290600682770958,1.4533283505010273,positive_like,False
accuracy,q65,1,2,1,0,FN,0.3740990791404713,0.3841118750558501,-0.010012795915378792,VDJ_ik_hip_adduction_r_abs_peak,22.91294913,3.742741115237715,1.0,-0.1509016207277418,0.3856374751931188,0.5365390959208606,3.6253731880050264,positive_like,False
accuracy,q65,1,2,1,0,FN,0.3740990791404713,0.3841118750558501,-0.010012795915378792,VDJ_syn1_sparsity,0.5667944794020473,0.34802915159961495,0.6875,0.1860818560233662,-0.47554252094860455,-0.6616243769719707,-0.49275948406223413,negative_like,True
accuracy,q65,1,2,1,0,FN,0.3740990791404713,0.3841118750558501,-0.010012795915378792,VDJ_emg_VMO_abs_peak,222.63351440429688,0.05744854960668428,0.5,0.25131165755336204,-0.6422409026363697,-0.8935525601897317,-0.2529131721481881,negative_like,True
